claim_id,section,statement,claim_type,tier,evidence,status,priority,last_checked,note
3.3-covid-complement,3.3,COVID-19 相關微血管病變中，糖萼損傷導致的補體失調是重要機制。,epidemiology,,,unverified,high,,文件標示 2024-2025 研究
3.3-factor-h-complement,3.3,糖萼結合 Factor H 等補體調節因子，防止補體系統在內皮表面過度活化。,mechanism,,,unverified,med,,
3.3-meta2024-platelet,3.3,2024 年薈萃分析證實糖萼完整性與血小板黏附呈顯著反比。,epidemiology,,,unverified,high,,宣稱為薈萃分析，須找到該篇
3.3-tfpi-binding,3.3,組織因子途徑抑制物結合於糖萼層並抑制外源性凝血途徑。,mechanism,,,unverified,low,,
3.3-thrombomodulin-proteinc,3.3,血栓調節蛋白結合凝血酶並將其轉化為 Protein C 活化劑。,mechanism,,,unverified,low,,
3.3-thrombosis-2-3x,3.3,高凝狀態下 HS 降解導致重症患者血栓事件增加 2-3 倍。,epidemiology,,,unverified,high,,
3.4-ecsod-charge-binding,3.4,ecSOD 經其正電區域與負電 HS 鏈結合而富集於內皮表面，就地清除超氧化物陰離子。,mechanism,,,unverified,med,,
3.5-metabolic-sensor,3.5,糖萼厚度與品質可作為內皮細胞代謝狀態的指標。,mechanism,,,unverified,med,,詮釋性主張
4.1-adamts-versican,4.1,ADAMTS-4 與 ADAMTS-5 在動脈粥樣硬化中切割 Versican 與 Aggrecan。,mechanism,,,unverified,med,,
4.1-cathepsin-low-ph,4.1,組織蛋白酶在斑塊等低 pH 環境中被活化並參與糖萼降解。,mechanism,,,unverified,low,,
4.1-damp-tlr4-loop,4.1,脫落的 Syndecan-1 外域與 HS 片段作為 DAMPs，經 TLR4/NF-κB 誘導 IL-1β 與 TNF-α，形成發炎-降解正反饋。,mechanism,,,unverified,high,,
4.1-heparanase-hs,4.1,肝素酶專一降解 HS 鏈，破壞負電荷屏障並導致抗凝功能喪失。,mechanism,,,unverified,high,,
4.1-hyaluronidase-ha,4.1,透明質酸酶降解 HA 骨架並產生具促炎作用的低分子量片段。,mechanism,,,unverified,med,,原文此項重複列出兩次（第 3 與第 5 項），已合併
4.1-mmp-shedding,4.1,MMP-9 與 MMP-2 在發炎刺激下切割 Syndecan 的胞外結構域，導致糖萼脫落。,mechanism,,,unverified,med,,
4.2.1-ages-rage-mmp,4.2.1,AGEs 與 RAGE 結合可誘導 MMP 活化並加速糖萼降解。,mechanism,,,unverified,med,,
4.2.1-fructose-er-stress,4.2.1,果糖誘導的內質網壓力對糖萼的損傷程度超過葡萄糖。,mechanism,,,unverified,high,,反直覺且標示為 2025 年研究，優先查證
4.2.1-hexosamine-oglcnac,4.2.1,六糖胺途徑過度活化導致 O-GlcNAc 修飾異常，干擾 EXT1/EXT2 的活性與定位。,mechanism,,,unverified,high,,此為「原料充足但合成反而受阻」的反直覺機制
4.2.1-hyperglycemia-ext-suppression,4.2.1,高血糖直接抑制 EXT1/EXT2 基因表達，從源頭減少 HS 合成。,mechanism,,,unverified,med,,
4.2.2-endothelial-ir-ko-mouse,4.2.2,內皮特異性胰島素受體敲除小鼠出現糖萼提早退化。,mechanism,,,unverified,high,,文件標示 2023-2024 年研究
4.2.2-ir-bidirectional,4.2.2,糖萼損傷與胰島素抵抗互為因果：損傷致 NO 減少而限制骨骼肌葡萄糖攝取。,mechanism,,,unverified,med,,
4.2.3-estrogen-protection,4.2.3,雌激素維持 GAG 合成並抑制 MMP 活性，停經前女性糖萼較同齡男性完整。,epidemiology,,,unverified,med,,
4.2.3-hrt-rct-2025,4.2.3,2025 年小型隨機試驗顯示荷爾蒙替代療法與糖萼厚度改善相關。,therapeutic,,,unverified,high,,宣稱為 RCT，證據等級高但須確認確實存在
4.3.1-lps-tlr4-heparanase,4.3.1,腸屏障受損使 LPS 進入循環，經 TLR4 途徑活化肝素酶並造成全身性糖萼降解。,mechanism,,,unverified,high,,
4.3.1-tmao-direct-damage,4.3.1,腸道菌代謝產物 TMAO 可直接損傷糖萼結構。,mechanism,,,unverified,high,,文件標示 2025 年研究
4.3.2-microplastic-pyroptosis,4.3.2,穿透糖萼的微塑膠可誘導內皮細胞焦亡並釋放大量發炎介質。,mechanism,,,unverified,high,,
4.3.2-nanoplastic-penetration,4.3.2,小於 100nm 的奈米塑膠可穿透糖萼層，聚苯乙烯微粒特別容易與 HS 結合。,mechanism,,,unverified,high,,文件標示 2025 年環境醫學研究
5.1-sdc1-cutoff-40,5.1,血漿 Syndecan-1 濃度大於 40 ng/mL 是預測敗血症死亡率的指標。,epidemiology,,,unverified,high,,最高優先。具體 cutoff，可能被誤用為臨床閾值
5.1-sdc1-or-204,5.1,血漿 Syndecan-1 升高預測敗血症死亡的優勢比為 2.04。,epidemiology,,,unverified,high,,文件標示為 2025 年薈萃分析
5.1-sdc1-sens-spec,5.1,以此閾值預測敗血症死亡率的敏感度為 85%、特異度為 78%。,epidemiology,,,unverified,high,,與 5.5 表格數值重複，須確認同源
5.1-sepsis-phase1-elastase,5.1,敗血症 0-6 小時以中性球彈性蛋白酶介導的 Syndecan-1 快速脫落為主。,mechanism,,,unverified,med,,
5.1-sepsis-phase2-leak,5.1,敗血症 6-24 小時 MMP 與肝素酶全面活化，導致毛細血管滲漏症候群與多器官衰竭。,mechanism,,,unverified,med,,
5.1-sepsis-phase3-abnormal-repair,5.1,敗血症 24-72 小時的修復期所合成的糖萼常伴隨硫酸化模式異常，可能造成長期血管功能障礙。,mechanism,,,unverified,high,,時序分期是否有直接人體資料支持？
5.2.1-hfpef-microvascular,5.2.1,HFpEF 的核心病理機制為微血管發炎與內皮功能障礙，而非心肌收縮力下降。,mechanism,,,unverified,high,,
5.2.1-hfpef-rarefaction,5.2.1,糖萼損傷導致冠狀動脈微循環稀疏化與心肌間質纖維化，使心室僵硬度增加。,mechanism,,,unverified,med,,
5.2.1-hfpef-sdc1-ha-elevated,5.2.1,HFpEF 患者血漿 Syndecan-1 與 HA 片段顯著升高。,epidemiology,,,unverified,high,,
5.2.2-acs-burst-degradation,5.2.2,ACS 中斑塊破裂導致局部糖萼爆發性降解，脫落碎片可阻塞下游微循環。,mechanism,,,unverified,med,,
5.3-ad-vascular-hypothesis,5.3,血腦屏障內皮糖萼損傷降低對 Aβ 的轉運與清除能力，導致 Aβ 於腦內累積。,mechanism,,,unverified,high,,與主流 Aβ 假說競合，須謹慎標註證據等級
5.3-pbr-precedes-cognitive-2-3y,5.3,縱向研究顯示糖萼生物標記異常先於認知功能衰退 2-3 年出現。,epidemiology,,,unverified,high,,宣稱為縱向研究＋具體年數，優先查證
5.3-vascular-dementia-correlation,5.3,小血管病變型失智與糖萼厚度減少呈正相關。,epidemiology,,,unverified,med,,原文用詞「正相關」與語意方向需釐清
5.4-iri-biphasic,5.4,缺血再灌注損傷呈雙相模式：缺血期合成減少，再灌注期 ROS 爆發造成更嚴重脫落。,mechanism,,,unverified,med,,
5.4-s1p-preconditioning,5.4,S1P 預處理可減輕缺血再灌注造成的糖萼脫落並保護移植器官。,therapeutic,,,unverified,high,,文件標示 2025 年研究；治療性宣稱
5.5-biomarker-endocan,5.5,Endocan 作為生物標記的敏感度為 77%、特異度為 70%，高死亡風險 OR 為 5.06。,epidemiology,,,unverified,high,,OR 5.06 明顯高於 Syndecan-1，須確認族群
5.5-biomarker-ha-lmw,5.5,低分子量 HA 作為生物標記的敏感度為 80%、特異度為 75%，與認知衰退相關。,epidemiology,,,unverified,high,,
5.5-biomarker-hs-fragment,5.5,HS 片段作為生物標記的敏感度為 72%、特異度為 81%，與血栓風險正相關。,epidemiology,,,unverified,high,,須確認測定方法與疾病情境
5.5-biomarker-thrombomodulin,5.5,Thrombomodulin 在 HFpEF 中與住院或死亡的風險比為 2.10。,epidemiology,,,unverified,high,,
5.5-pbr-sdc1-correlation,5.5,PBR 升高與血漿 Syndecan-1 升高通常呈正相關。,measurement,,,unverified,med,,若成立則兩者可互為驗證，值得確認相關係數
6.1-golgi-sulfotransferase-dysfunction,6.1,若內皮代謝環境未被糾正，高爾基體內的硫酸化酶仍功能紊亂，所合成的糖萼仍有功能缺陷。,mechanism,,,unverified,high,,支撐整個「質量修復」策略的關鍵假設
6.1-heparanase-inhibitor-target,6.1,高特異性肝素酶抑制劑可阻斷發炎-降解的惡性循環。,therapeutic,,,unverified,high,,須確認是否有進入臨床試驗的化合物
6.1-metabolic-reprogramming-target,6.1,改善內皮線粒體功能與抑制六糖胺途徑過度活化，可為糖萼合成提供正確的代謝環境。,therapeutic,,,unverified,med,,目前應屬假說層級
6.1-microbiome-target,6.1,調節腸道菌群以減少內毒素與 TMAO 可降低對糖萼的攻擊。,therapeutic,,,unverified,med,,目前應屬假說層級
6.1-sulodexide-mixed,6.1,舒洛地特在部分研究中可增加糖萼厚度，但在重症或嚴重代謝紊亂患者中療效不一。,therapeutic,,,unverified,high,,治療性宣稱，須找到臨床試驗
